,Solute SMILES,Solvent SMILES,pKa (avg),pKa (all),Source,,,,,,
9233,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,O,4.7,[4.7],[https://bit.ly/3wF902t],,,,,,
9234,O=[N+]([O-])c1cc(Cl)ccc1[O-],O,6.44,[6.44],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9235,Nc1c2c([nH+]c3c1CCC3)CCCC2,O,10.2,[10.2],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9236,Cl.O=C(O)CC(C(=O)O)n1ccnc1,O,7.32,[7.32],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9237,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)CO[C@H]3F)c2)cn1,O,7.6,[7.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9238,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,O,9.03,"[9.69, 9.69, 8.5, 8.24]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., https://bit.ly/3wF902t, Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
9239,CCCCCCCCCCCC(=O)[O-],O,4.92,[4.92],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9240,COc1ccc(C(=O)C(=NO)SCCC[NH+](C)C)cc1,O,8.42,[8.42],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9241,O=[N+]([O-])c1cnc2ccncc2c1,O,2.32,[2.32],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9242,CC1(C)CCCN(Cc2ccc3c(c2)OCO3)C1,O,9.4,[9.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9243,CN(C)c1ccc(C(O)(c2ccccc2)c2ccccc2)cc1,O,4.75,[4.75],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9244,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2cc(OCC(O)CO)ccc12.Cl,O,7,[7.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9245,Cn1cc(N)cc1C(=O)[O-],O,7,[7.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9246,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,O,8.37,[8.37],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9247,C1CCN(CCN2CCCC2)C1,O,9.47,[9.47],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9248,Cc1cc(C)nc([S-])n1,O,8.5,[8.5],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9249,CC(C)(C)NCC(O)COc1cccc2c1CCCC2=O,O,9.5,[9.5],[https://bit.ly/3wF902t],,,,,,
9250,CN1CCN=C1CCCCCCCCCCCCC1=NCCN1C.Cl.Cl,O,11,[11.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9251,CNN(C)C,O,6.64,[6.64],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9252,NCCCC(=O)[O-],O,10.48,[10.48],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9253,COc1cc2c(cc1OC)C13CC[NH+]4CC5CCOC6CC(=O)N2C1C6C5CC43,O,8.27,[8.27],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9254,Sc1nc2cc3ccccc3cc2[nH]1,O,9.84,[9.84],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9255,Br.N=c1cc2ccc3ccccc3c2nn1CCCCCCCCCCCCn1nc2c(ccc3ccccc32)cc1=N,O,11.7,[11.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9256,N#CNC(=N)N,O,-0.4,[-0.4],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9257,Cc1ncc([N+](=O)[O-])n1CC(O)CNC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,O,6.478,[6.478],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9258,COc1nc(NC(C)C)nc(NC(C)C)n1,O,4.3,[4.3],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9259,C[C@H]([NH3+])C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)[O-],O,6.76,[6.76],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9260,Oc1ccc(C(c2ccncc2)c2ccc(O)cc2)cc1,O,9.47,[9.47],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9261,OCCCCNCl,O,1.49,[1.49],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9262,Clc1ccc(CN(Cc2nnn[nH]2)c2ccccc2)cc1Cl,O,4.49,[4.49],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9263,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2cncc(-c3nnn[nH]3)c2)cn1,O,3.7,[3.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9264,COCCN1CCC[C@@H](Cn2c(-c3ccccc3C)nc3nc(-c4ccc(Cl)cc4)sc3c2=O)C1,O,9.2,[9.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9265,COc1ccc(-c2ccccc2C(=O)[O-])cc1,O,3.5,[3.5],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9266,COc1nc2ccccc2[nH]1,O,3.75,[3.75],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9267,Nc1nc[nH+]c(N)c1N,O,1.47,[1.47],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9268,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CC[C@H]2O,O,8.35,[8.35],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9269,O=C([O-])CCI,O,4.09,[4.09],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9270,Oc1c(Cl)ccc(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,O,6.05,[6.05],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9271,COC(=O)C(C#N)=N[N-]c1ccc(C(F)(F)F)cc1,O,6.45,[6.45],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9272,c1ccc(Oc2ccc3c(NCCCNCc4ccc5c(c4)OCO5)ccnc3c2)cc1,O,9.28,[9.28],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9273,NC1=NCC(C(=O)O)CC1,O,12.4,"[12.4, 12.4]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9274,Cc1c[nH]c(NC(=O)c2nc(C)cc3c(-c4ccccn4)c[nH]c23)n1,O,6.9,[6.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9275,CNCCc1nc(-c2cn(C)c3ccccc23)no1,O,8.8,[8.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9276,O=NN(CCCl)C(=O)NC(C(=O)[O-])C1CCCC1,O,4.04,[4.04],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9277,O=C(O)CNC(=O)c1ccccc1O,O,3.63,[3.63],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9278,C[n+]1ccn(CCS(C)(=O)=O)c1C=NO,O,7.98,[7.98],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9279,CCCCOc1ccc(C(=O)N/N=C(\C)[C@]2(O)Cc3c(O)c4c(c(O)c3[C@@H](O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C2)C(=O)c2c(OC)cccc2C4=O)cc1.Cl,O,4.23,[4.23],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9280,CCCc1ccccc1N,O,4.36,"[4.36, 4.36]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9281,C[N+](C)(C)c1cccc(O)c1,O,8.07,[8.07],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9282,Brc1cccc(Br)c1N(Cc1ccccc1)C1=[NH+]CCN1,O,10.4,[10.4],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9283,Br.N=c1ncc(-c2ccccc2)cn1CCCCCCCCCCCCn1cc(-c2ccccc2)cnc1=N,O,11.3,[11.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9284,O=[N+]([O-])c1ccccc1[O-],O,7.17,[7.17],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9285,CC(C)NCC(O)COc1ccc(-c2nc(-c3cccs3)c[nH]2)cc1,O,4.9,[4.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9286,N#CCN1CCCCC1,O,4.55,[4.55],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9287,NC1=N[C@H]2C[C@@H](N1)N[C@@H]2C(=O)[O-],O,12.6,[12.6],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9288,O=C(O)c1ccc(Br)c([N+](=O)[O-])c1,O,3.24,[3.24],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9289,NCCc1ccncc1,O,9.37,[9.37],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9290,CC(C)(C)c1cccc(CN[C@H]2C[S@+]([O-])C[C@@H](Cc3cc(F)c(N)c(OC(C(F)(F)F)C(F)(F)F)c3)[C@@H]2O)c1,O,6.7,[6.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9291,c1ccc(CSc2nc[nH]n2)cc1,O,9.5,[9.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9292,Cl.N=C(N)NCCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc([N+](=O)[O-])ccc23)cc1,O,5.36,[5.36],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9293,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)c(N)c1,O,7.65,"[7.65, 7.65]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9294,CCCCC(CCCC)C(=O)[O-],O,5.05,[5.05],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9295,CN(C)c1ccc([N+](=O)[O-])cc1,O,0.65,"[0.69, 0.61]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9296,Cc1ccccc1C1=NCC(=O)Nc2ccc(Cl)cc21,O,3.14,[3.14],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9297,CCCCCOc1cccc(NC(=O)C[NH+](CC)CC)c1,O,7.78,[7.78],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9298,Cc1cc(CNCc2cc(C)nn2-c2ccccc2)n(-c2ccccc2)n1,O,2.2,[2.2],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9299,CCC(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,O,4.88,[4.88],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9300,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,O,9.095,"[9.45, 8.74, 8.74, 9.45]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9301,O=C(O)c1cn2c(c1O)C(=O)N(Cc1cccc(Cl)c1)CC2,O,3.8,[3.8],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9302,Nc1ncccc1C(=O)[O-],O,6.59,[6.59],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9303,CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC(F)F)cc3)ccc2NC1=O,O,7.9,[7.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9304,CCN(CC)CCC#N,O,7.62,[7.62],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9305,CC(C)N1CCC(Oc2ccc3[nH]c(C(=O)N4CCOCC4)cc3c2)CC1,O,10,[10.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9306,C[C@H](O)c1nccc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1,O,6.4,"[6.8, 6.0]","[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954., Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9307,C[NH+](C)CCCCCNC(=O)/C=N/O,O,8.88,[8.88],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9308,OB(O)c1cccc(O)c1,O,8.55,[8.55],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9309,CN(C)CCCCC(=O)Oc1ccccc1,O,10,[10.0],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9310,O=C(O)C[NH+](CC(=O)O)Cc1cc([N+](=O)[O-])ccc1O,O,2.4,[2.4],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9311,C1=C(c2ccccc2)C2CCN1CC2,O,9.1,[9.1],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9312,O=C(CCCN1CCOCC1)c1ccccc1,O,7.26,[7.26],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9313,O=CCCCC(=O)O,O,5.02,[5.02],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9314,c1ccc2c(c1)CNCCCNCc1ccccc1OCCO2,O,9.82,[9.82],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9315,CC/C([N+](=O)[O-])=[N+](/[O-])O,O,4.1,[4.1],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9316,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1)NC(c1ccc(F)cc1)c1ccc(F)cc1,O,9.1,[9.1],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9317,CS(=O)(=O)NC(=O)c1ccc(-c2c3c([nH]c(=O)c2C#N)-c2ccccc2OC3)cc1,O,3.9,[3.9],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9318,[O-]c1c(Cl)cc(Cl)cc1CN1CCOCC1,O,8.85,[8.85],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9319,OC(c1ccncc1)(c1ccncc1)c1cccnc1,O,11.9,[11.9],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9320,CCC[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,O,6.2,[6.2],"[Settimo et al., Pharma. Res., 2014, 31, 1082-1095.]",,,,,,
9321,CCC(C(=O)[O-])C(CC)(CC)C(=O)[O-],O,2.74,[2.74],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9322,CC1(C)CC(=O)C2=C(C1)NC1=C(C2)C(=O)CC(C)(C)C1,O,3.6,[3.6],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9323,O=C1C=C([O-])C(Cl)O1,O,2.13,[2.13],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9324,Cc1cc(Cl)c([NH+]=C2NCCN2)c(Cl)c1,O,8.29,[8.29],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9325,O=C(CN1CCOCC1)NCc1ccccc1,O,4.98,[4.98],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9326,COc1cc(-c2noc3c2CCCC3NCC(F)(F)F)ccc1-n1cnc(C)c1,O,5.42,[5.42],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9327,CC(=O)C(C=O)C(C)=O,O,4.6,[4.6],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9328,COc1ccc(C(C#N)N2CCCCC2)cc1O,O,4,[4.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9329,COc1ccccc1N,O,4.51,[4.51],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9330,NC1NC=CN1,O,8.46,[8.46],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9331,CSc1ccnc2ccccc12,O,5.83,"[5.81, 5.85]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9332,c1ccc(CSc2ccccn2)cc1,O,3.23,[3.23],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9333,Nc1n[nH]c(CCNOC(=O)CN(C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C2CCCC2)n1,O,7.5,[7.5],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9334,CCc1cc(Cl)c(OC)c(C(=O)NC[C@H]2CCC[NH+]2CC)c1O,O,6.91,[6.91],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9335,C[NH+](C)CC(=O)C(OCc1ccccc1)(c1ccccc1)c1ccccc1,O,7.08,[7.08],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9336,NS(=O)(=O)c1cc2cc(C[NH+]3CCOCC3)sc2s1,O,5.25,[5.25],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9338,CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,O,14.98,[14.98],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9339,c1ccc(-n2cccn2)nc1,O,1.07,[1.07],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9340,C[NH+](C)CCC/N=C(\c1ccccc1)c1ccccc1Cl,O,3.46,[3.46],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9341,N[C@H](c1ccccc1)[C@H](O)c1ccccc1,O,10.46,[10.46],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9342,CN(C)CCCN1c2cc(F)ccc2CCc2ccc(F)cc21.Cl,O,7.6,[7.6],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9343,O=[N+]([O-])CSc1ccccc1,O,6.67,[6.67],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9344,NCCCCC[NH3+],O,9.73,[9.73],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9345,NCc1cc(Cl)ccc1[N+](=O)[O-],O,8.19,[8.19],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9346,Nc1ccccc1C(=O)[O-],O,4.87,[4.87],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9347,CC(OCn1cc[n+](C)c1C=NO)C(C)(C)[N+](=O)[O-],O,8,[8.0],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9348,CCCCNC(=O)c1cc(Br)cc(C)c1O,O,7.57,[7.57],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9349,CC[C@]1(O)C[C@H](C)N[C@@H]2CCCC[C@H]21,O,10.05,[10.05],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9350,COc1cc(N)c(Cl)cc1C(=O)NC1CCN2CCOCC2C1,O,6.3,[6.3],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9351,CC(C)(C)[NH2+]CC(=O)c1ccc(O)cc1,O,7.9,[7.9],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9352,CC[NH+](CC)CCSC(=NO)c1nnc(-c2ccccc2)o1,O,6.35,[6.35],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9353,Nc1ccc(S(=O)(=O)Nc2ccc(O)cn2)cc1,O,7.5,[7.5],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9354,Nc1cccc(Nc2ccccc2C(=O)[O-])c1,O,4.54,[4.54],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9355,CC(CC(c1ccccc1)c1ccccc1)[NH+]1CCOCC1,O,6.875,"[6.9, 6.85]","[https://bit.ly/3wF902t, Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9356,CC(=O)N(C)c1cc[nH+]cc1,O,4.62,[4.62],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9357,Nc1nc(=S)c2[nH]cnc2[nH]1,O,8.2,[8.2],[https://bit.ly/3wF902t],,,,,,
9358,C[NH+](C)Cc1cccc(NC(=O)/C=N/O)c1,O,8.28,[8.28],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9359,CCC1(CC)C(=O)[N-]C(=O)N(C(=O)c2ccc(OC)cc2)C1=O,O,6.8,[6.8],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9360,O=S(=O)([O-])c1c(O)ccc2cn[nH]c12,O,9.45,[9.45],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9361,CN(C)C1CC(C)(C)[NH2+]C(C)(C)C1,O,7.67,[7.67],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9362,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(C)C(N)=N2)cc1,O,5.7,[5.7],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9363,O=S(=O)(c1ccccc1)c1ccc(O)nn1,O,7.1,[7.1],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9364,O=C1CN(Cc2ccc(-c3ccc(F)c(CN4CCCCC4)n3)cc2)C(=O)N1CC(F)F,O,9,[9.0],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9365,O=C1CN=C(c2ccccc2)c2cc(F)ccc2N1,O,3.52,[3.52],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9366,Cl.N=C(N)NCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(Cl)ccc23)cc1,O,6.33,[6.33],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9367,Cc1cc(=O)oc2cc(O)c(Cl)cc12,O,6.1,[6.1],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9368,Nc1ccc2ncncc2c1,O,3.285,"[3.29, 3.28]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9369,CC1(C)OC(=O)NC1=O,O,6.116666667,"[6.15, 6.1, 6.1]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., https://bit.ly/3wF902t, https://bit.ly/3wF902t]",,,,,,
9370,Cc1cc(C)cc(O)c1,O,10.13,[10.13],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9371,COc1ccc([N+](=O)[O-])c2c(NCCCN(C)C)ccnc12,O,6.76,[6.76],"[Gaulton et al., Nucleic Acids Res., 2017, 45, 945-954.]",,,,,,
9372,N#CCCNN,O,5.91,[5.91],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9373,Cc1cc2c(OCC(O)C[NH2+]C(C)C)cccc2[nH]1,O,9.25,[9.25],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9374,COCCSC(C)O,O,14.21,[14.21],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9375,N[C@H]1CCC[C@H]1C(=O)Oc1ccc([N+](=O)[O-])cc1,O,8.36,[8.36],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9376,O=C1C=CCC=C1,O,-1.14,[-1.14],"[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473.]",,,,,,
9377,Clc1ccnc2c1ccc1c(Cl)ccnc12,O,3.02,"[3.03, 3.01]","[Sander et al., J. Chem. Inf. Model, 2015, 55 (2), 460-473., Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9378,O=C(C(=NO)c1ccco1)c1ccco1,O,9.18,[9.18],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
9379,Clc1ccc(CC(=CC[NH+]2CCCC2)c2ccccc2)cc1,O,8.8,[8.8],"[Slater, J. Comput. Aided Mol. Des.,2014, 28, 1031-1034.]",,,,,,
