,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all),Acid type,Solvent name
1265,COC(=O)C(CCC(=O)O)(c1ccccc1)c1ccccc1,O,0,0,4.66,[4.66],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1266,O=[N+]([O-])c1cccc(O)c1,O,0,0,8.38,[8.38],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1267,CCc1cccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3,O,0,0,4.15,[4.15],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1268,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,CS(=O)C,88-89-1,"2,4,6-trinitrophenol",-1.33,"[-1.0, -1.09, -1.9]","[Kutt et al., Tetrahedron Lett., 2018., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,DMSO
1269,CC(=O)CC[NH+](C)C,O,0,0,8.4,[8.4],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1270,Nc1ccc([NH3+])c[nH+]1,O,0,0,2.13,[2.13],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1271,N#CC(C#N)C#N,CC#N,454-50-2,methanetricarbonitrile,5,"[5.0, 5.0]","[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
1272,CCC[NH+](CC)CC,C1CCOC1,-,diethyl(propyl)azanium,12.7,[12.7],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
1273,[NH3+]c1cccc(C(=O)OC(F)(F)C(F)(F)F)c1,O,0,0,3.24,[3.24],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1274,CCC[N@@H+]1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,O,0,0,8.07,[8.07],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1275,O=[N+]([O-])c1ccc(S(=O)(=O)NS(=O)(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1,C(CCl)Cl,2226486-82-2,-,40.7,"[40.7, 40.7]","[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",amine,DCE
1276,Oc1ccccc1C(F)(F)F,CS(=O)C,444-30-4,2-(trifluoromethyl)phenol,14.4,[14.4],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,DMSO
1277,Oc1c(F)c(F)c(F)c2c(F)c(F)c(F)c(F)c12,CC#N,5386-30-1,"2,3,4,5,6,7,8-heptafluoronaphthalen-1-ol",19.71333333,"[19.72, 19.7, 19.72]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",phenol,acetonitrile
1278,C[C@@H](C=C(c1cccs1)c1cccs1)[NH+]1CCCCC1,O,0,0,8.41,[8.41],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1279,O=C(O)Cc1cccc([N+](=O)[O-])c1,O,0,0,3.97,[3.97],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1280,CC(=O)NS(=O)(=O)c1ccc(N)cc1,O,0,0,5.25,[5.25],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
1281,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,O,0,0,3.1,[3.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1282,C[NH2+][C@H](C)[C@@H](O)c1ccccc1,O,0,0,9.61,[9.61],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1283,C[NH2+]CC(F)(F)F,O,0,0,6.1,[6.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1284,O=C(O)c1cccc([N+](=O)[O-])c1,CC#N,121-92-6,3-nitrobenzoic acid,19.2,[19.2],"[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.]",carboxylic acid,acetonitrile
1285,Cc1ccc(S(=O)(=O)NS(=O)(=O)c2ccc(Cl)cc2)cc1,CC#N,69173-28-0,N-(4-chlorophenyl)sulfonyl-4-methylbenzenesulfonamide,11.1,"[11.1, 11.1, 11.1]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",amine,acetonitrile
1286,O=C(O)C(Br)Br,O,0,0,1.39,[1.39],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1287,CCC(=O)O[C@]1(c2ccccc2)CC[N@H+](C)C[C@@H]1C,O,0,0,8.7,[8.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1288,CC[NH+](CC)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12,O,0,0,10.6,[10.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1289,O=S(=O)(OCC(F)(F)F)c1cc(S(=O)(=O)OCC(F)(F)F)c(O)c(S(=O)(=O)OCC(F)(F)F)c1,CC#N,1263293-53-3,-,7.955,"[7.94, 7.97]","[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",phenol,acetonitrile
1290,O=[N+]([O-])c1cccc(NS(=O)(=O)c2ccccc2)c1,O,0,0,6.94,[6.94],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
1291,[NH3+]CCCCCCO,O,0,0,10.6,[10.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1292,O=[N+]([O-])c1ccc(-c2ccccc2O)cc1,O,0,0,10.42,[10.42],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1293,[NH3+]c1ccccc1C1CC1,O,0,0,4.3,[4.3],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1294,[NH3+]c1ccc(Cl)cc1,O,0,0,4.15,[4.15],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1295,N#Cc1ccc(C(=O)N2CCC3(CC2)Nc2c(F)ccc(F)c2C(N)=[NH+]3)cc1,O,0,0,8.15,[8.15],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1296,CCOCC[NH2+]CCOCC,O,0,0,8.47,[8.47],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1297,c1ccc(C[C@@H]2CCC[NH2+]2)cc1,O,0,0,10.31,[10.31],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1298,C=CC(=O)O,O,0,0,4.25,[4.25],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1299,C1CCC[NH2+]CC1,O,0,0,11.1,[11.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1300,O=[N+]([O-])c1ccc(NS(=O)(=O)c2ccc(Cl)c(C(F)(F)F)c2)c(Cl)c1,O,0,0,4.89,[4.89],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",amine,water
1301,c1ccc(C[NH+](Cc2ccccc2)Cc2ccccc2)cc1,O,-,tribenzylazanium,7.44,[7.44],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,water
1302,CCC[NH3+],CC#N,,propylazanium,18.44,[18.44],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,acetonitrile
1303,C1=C[NH2+]C=N1,CS(=O)C,-,1H-imidazol-1-ium,6.26,[6.26],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
1304,C[NH+](C)C,C1CCOC1,,trimethylazanium,12.7,[12.7],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
1305,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,CC#N,72-48-0,"1,2-dihydroxyanthracene-9,10-dione",21.23,"[21.23, 21.23]","[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",phenol,acetonitrile
1306,N#CC(c1c(F)c(F)nc(F)c1F)c1c(F)c(F)c(F)c(F)c1F,CC#N,62325-51-3,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",16.396,"[16.4, 16.39, 16.4, 16.4, 16.39]","[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
1307,CCOP(=O)(OCC)c1cccc(C(=O)O)c1,O,0,0,3.65,[3.65],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1308,C[N+](C)(C)CCc1ccccc1O,O,0,0,9.57,[9.57],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1309,c1ccc2c(c1)-c1cccc3c1C2c1ccccc1-3,CC#N,205-94-7,fluoradene,23.91,"[23.9, 23.92, 23.92, 23.9]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",C-H acid,acetonitrile
1310,CCCC[NH2+]C[C@H](O)c1ccc(OC)c(OC)c1,O,0,0,9.56,[9.56],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1311,Oc1cncc2ccccc12,O,0,0,8.7,[8.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1312,[NH3+]c1ccccc1,CS(=O)C,65756-50-5,phenylazanium,3.595,"[3.59, 3.6]","[Kutt et al., Tetrahedron Lett., 2018., Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
1313,O=C(NS(=O)(=O)C(F)(F)F)c1ccccc1,CC#N,39062-91-4,N-(trifluoromethylsulfonyl)benzamide,11.06333333,"[11.06, 11.06, 11.07]","[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",amine,acetonitrile
1314,N#CC(C#N)=CC(C#N)C#N,CC#N,32019-26-4,"prop-1-ene-1,1,3,3-tetracarbonitrile",5.64,[5.64],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
1315,Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,CC#N,76-60-8,"2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxy-2-methylphenyl)-1,1-dioxo-2,1λ6-benzoxathiol-3-yl]-3-methylphenol",11,[11.0],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",phenol,acetonitrile
1316,O=P1(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)Oc2c(-c3ccccc3)cc3c(c2-c2c4c(cc(C5C=CC=CC5)c2O1)CCCC4)CCCC3,CC#N,1261302-67-3,,6.7,[6.7],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",amine,acetonitrile
1317,OCC[NH+](CCO)Cc1cccc(F)c1,O,0,0,6.5,[6.5],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1318,c1ccc2[nH+]ccnc2c1,O,,quinoxalin-1-ium,0.56,[0.56],"[Lokov et al., Eur. J. Org. Chem., 2017, 30, 4475-4489.]",protonated amine,water
1319,CS(=O)(=O)c1cccc([NH3+])c1,O,0,0,2.561,[2.561],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1320,O=C(O)Cn1c(=O)sc2cccc(Cl)c21,O,0,0,3.04,[3.04],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1321,O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,O,0,0,3.62,[3.62],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1322,C[Si](C)(C)CC[NH3+],O,0,0,10.97,[10.97],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1323,Oc1ccccc1I,O,0,0,8.46,[8.46],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1324,C=C(C)CC(=O)O[C@@H](C)[NH+]1CCCCC1,O,0,0,8.37,[8.37],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1325,c1c[nH+][nH]n1,C1CCOC1,-,2H-triazol-1-ium,2.5,[2.5],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,THF
1326,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CC2CC[NH2+]CC2)ccc1Cl,O,0,0,10.1,[10.1],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1327,CC[N@@H+](CCO)C[C@@H](C)O,O,0,0,8.9,[8.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1328,Cc1ccc[nH+]c1N,O,0,0,7.24,[7.24],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1329,O=S(=O)(NS(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,C(CCl)Cl,152894-10-5,"1,1,2,2,2-pentafluoro-N-(1,1,2,2,2-pentafluoroethylsulfonyl)ethanesulfonamide",32.6,[32.6],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",amine,DCE
1330,O=C(O)CCc1ccccc1,O,0,0,4.664,[4.664],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1331,COc1ccc([N+](=O)[O-])cc1[NH3+],O,0,0,2.49,[2.49],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1332,CCO[Si](C)(C)C[NH3+],O,0,0,10.18,[10.18],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1333,Cc1cc(C)cc(C(=[NH2+])c2ccccc2)c1,O,0,0,7.18,[7.18],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1334,CN(C)c1cccc2cccc([NH+](C)C)c12,CC#N,-,[8-(dimethylamino)naphthalen-1-yl]-dimethylazanium,18.63,[18.63],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,acetonitrile
1335,Oc1ccccc1,O,108-95-2,phenol,9.99,"[9.99, 9.99]","[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1336,C[N@H+]1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,O,0,0,8.19,"[8.2, 8.18]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997., Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1337,CC(C)OP(=O)(OCC[NH+](C)C)OC(C)C,O,0,0,8.06,[8.06],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1338,CC(=C(C#N)C#N)C(C#N)C#N,CC#N,24943-63-3,"2-methylprop-1-ene-1,1,3,3-tetracarbonitrile",7.36,[7.36],"[Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419.]",C-H acid,acetonitrile
1339,CC(C)(C)C[NH2+]c1ccccc1,O,0,0,4.17,[4.17],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1340,CS(=O)(=O)c1ccc([NH3+])c(Cl)c1,O,0,0,-0.41,[-0.41],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1341,O=C(NS(=O)(=O)N1CCC([NH+]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1)c1ccccc1,O,0,0,6.2,"[8.1, 4.3]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1342,O=C(O)c1cccc([N+](=O)[O-])c1Cl,O,0,0,2.02,[2.02],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1343,CSCC[NH3+],O,0,0,9.49,[9.49],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1344,O=C(NC[C@@H](O)C[NH+]1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2ccccc12,O,0,0,9.3,"[7.7, 10.9]","[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1345,C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CCC2=O,O,0,0,10.91,[10.91],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1346,CN(C)CC[NH+](C)C,O,-,2-(dimethylamino)ethyl-dimethylazanium,9.125,"[9.15, 9.1]","[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748. ,   Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1347,COc1ccc([C@@H](O)C[NH2+]C(C)(C)C)cc1OC,O,0,0,9.73,[9.73],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1348,Cc1ccc(C[NH+](CCO)CCO)cc1,O,0,0,7.2,[7.2],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1349,Cn1cc(Br)c(O)nc1=O,O,0,0,7.84,[7.84],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1350,CC[C@@H](Oc1ccc(C(F)(F)F)cc1-c1ccc(S(=O)(=O)CC)cc1C)C(=O)O,O,0,0,3.4,[3.4],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1351,CC(C)c1ccccc1C(=O)O,O,0,0,3.63,[3.63],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1352,O=[N+]([O-])c1ccc(S)cc1,O,0,0,4.6,[4.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",thiol,water
1353,C[NH+]1CCN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(CCF)c3c2F)CC1,O,0,0,7.91,[7.91],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1354,C[NH2+]c1ccccc1SC,O,0,0,3.71,[3.71],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1355,c1ccc2c(c1)CCC[C@H]2C1=[NH+]CCN1,O,0,0,10.6,[10.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1356,Nc1c(S(=O)(=O)F)cc(S(=O)(=O)F)cc1S(=O)(=O)F,CC#N,133213-11-3,"2-aminobenzene-1,3,5-trisulfonyl fluoride",19.66,"[19.66, 19.66, 19.66]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",amine,acetonitrile
1357,CCCCOc1ccc([NH3+])c([N+](=O)[O-])c1,O,0,0,0.74,[0.74],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1358,CCOC(=O)c1cc([NH3+])cc([N+](=O)[O-])c1,O,0,0,0.98,[0.98],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1359,COc1ccc(O)c([N+](=O)[O-])c1,O,0,0,7.33,[7.33],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1360,CCc1cnc(NC)[nH+]c1,O,0,0,4.29,[4.29],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1361,Nc1ccc2ccccc2[nH+]1,O,0,0,7.3,[7.3],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1362,c1ccc(C[NH2+]CC(c2ccccc2)c2ccccc2)cc1,O,0,0,7.6,[7.6],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1363,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1cc[nH+]c1,O,0,0,5.8,[5.8],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1364,[NH3+]c1cccc2cc([N+](=O)[O-])ccc12,O,0,0,2.89,[2.89],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1365,CN(C)[P+](NC(C)(C)C)(N(C)C)N(C)C,C1CCOC1,-,(tert-butylamino)-tris(dimethylamino)phosphanium,18.9,[18.9],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",amine,THF
1366,N#CC1=CC(C#N)C=C1C#N,CC#N,215395-09-8,"cyclopenta-2,5-diene-1,2,4-tricarbonitrile",3.75,"[4.16, 3.68, 3.68, 3.65, 3.65, 3.68]","[Eckert et al., J. Comput. Chem., 2009, 30, 799-810.,  Kutt et al., J. Org. Chem., 2011, 76, 391-395., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Kutt et al., Eur. J. Org. Chem., 2021, 2021 (9), 1407-1419., Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",C-H acid,acetonitrile
1367,O=C([O-])COCC[NH+]1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1,O,0,0,7.95,[7.95],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1368,[NH2+]=C1CCCCC1,O,0,0,9.15,[9.15],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1369,C[C@H]([NH3+])c1ccccc1,O,0,0,9.35,[9.35],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1370,N[C@@H](CCS)C(=O)O,O,0,0,8.7,[8.7],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1371,C[Si](C)(C)CCC[NH3+],O,0,0,10.73,[10.73],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1372,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)c(C#N)cc12,O,0,0,7.9,[7.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",hydroxyl alcohol,water
1373,Oc1cnccn1,O,0,0,8.25,[8.25],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
1374,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,C1CCOC1,51-28-5,"2,4-dinitrophenol",16.94,[16.94],"[Kutt et al., Tetrahedron Lett., 2018.]",phenol,THF
1375,O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O,0,0,1.42,[1.42],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1376,CN1CCC[NH+]2CCCN=C12,CC#N,-,"1-methyl-3,4,5,6,7,8-hexahydro-2H-pyrimido[1,2-a]pyrimidin-5-ium",25.47,[25.47],"[Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,acetonitrile
1377,C[C@@H](C=C(c1cccs1)c1cccs1)[NH+](C)C,O,0,0,8.9,[8.9],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1378,[NH3+]CC(Cl)(Cl)C(Cl)(Cl)Cl,O,0,0,6.58,[6.58],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1379,O=C(O)c1ccc[n+]([O-])c1,O,0,0,2.79,[2.79],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",carboxylic acid,water
1380,CN(C)C(=N)[NH+](C)C,CS(=O)C,-,"(N,N-dimethylcarbamimidoyl)-dimethylazanium",13.2,"[13.2, 13.2]","[Kutt et al., Tetrahedron Lett., 2018., Tshepelvitsh et al., Eur. J. Org. Chem., 2019, 6735-6748.]",protonated amine,DMSO
1381,N#CC(C#N)S(=O)(=O)C(F)(F)F,C(CCl)Cl,278796-64-8,2-(trifluoromethylsulfonyl)propanedinitrile,33.5,[33.5],"[Paenurk et al., Chem. Sci., 2017, 8, 6964-6973.]",C-H acid,DCE
1382,[NH2+]=C(c1ccccc1)c1cccc(Cl)c1,O,0,0,5.69,[5.69],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",protonated amine,water
1383,Oc1c(Cl)cccc1Cl,O,0,0,6.79,[6.79],"[Hunt et al.. J. Chem. Inf. Model, 2020, 60 (6), 2989-2997.]",phenol,water
