Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
CCC[NH+:18](CCC)CCc1ccc(c2c1CC(=O)N2)O,O,0,0,10.2,['10.2'],['hunt_et_al']
CCC[NH+](CCC)CCc1ccc(c2c1CC(=O)N2)[OH:20],O,0,0,8.35,['8.35'],['hunt_et_al']
C[NH+:21](C)CCC=C1c2ccccc2CCc3c1cccc3,O,0,0,9.4,['9.4'],['hunt_et_al']
CCC[NH2+:22]C[C@H](COc1ccccc1C(=O)CCc2ccccc2)O,O,0,0,9.27,['9.27'],['hunt_et_al']
CCCC(=O)Nc1ccc(c(c1)C(=O)C)OC[C@@H](C[NH2+:20]C(C)C)O,O,0,0,9.45,['9.45'],['hunt_et_al']
CC(C)[NH2+:19]C[C@H](COc1ccc(cc1)COCCOC(C)C)O,O,0,0,9.87,['9.87'],['hunt_et_al']
CC(C)[C@@](CCC[N@@H+:29](C)CCc1ccc(c(c1)OC)OC)(C#N)c2ccc(c(c2)OC)OC,O,0,0,8.6,['8.6'],['hunt_et_al']
C[N@H+:18]1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](C=C[C@H]3[C@H]1C5)O)O,O,0,0,8.18,['8.18'],['hunt_et_al']
CC(C)(C)[NH2+:14]C[C@@H](c1ccc(c(c1)CO)O)O,O,0,0,9.3,['9.3'],['hunt_et_al']
CCCCNC(=O)[NH:14]S(=O)(=O)c1ccc(cc1)C,O,0,0,5.3,['5.3'],['hunt_et_al']
CC(C)(c1ccccc1CC[C@H](c2cccc(c2)/C=C/c3ccc4ccc(cc4[nH+:36]3)Cl)SCC5(CC5)CC(=O)O)O,O,0,0,5.6,['5.6'],['hunt_et_al']
CC(C)(c1ccccc1CC[C@H](c2cccc(c2)/C=C/c3ccc4ccc(cc4[nH+:36]3)Cl)SCC5(CC5)CC(=O)[O-])O,O,0,0,5.6,['5.6'],['hunt_et_al']
CC[NH+:16](CC)CC(=O)Nc1c(cccc1C)C,O,0,0,7.94,['7.94'],['hunt_et_al']
C[C@@]12CC3C[C@@](C1)(CC(C3)(C2)[NH3+:13])C,O,0,0,10.66,['10.66'],['hunt_et_al']
Cc1ccc(cc1)S(=O)(=O)[NH:17]C(=O)NN2CCCCCC2,O,0,0,5.8,['5.8'],['hunt_et_al']
CN(C)C(=O)C(CC[NH+:30]1CCC(CC1)(c2ccc(cc2)Cl)O)(c3ccccc3)c4ccccc4,O,0,0,9.14,['9.14'],['hunt_et_al']
Cc1c(c(=O)n2c(n1)CCCC2)CC[NH+:27]3CCC(CC3)c4c5ccc(cc5on4)F,O,0,0,8.49,['8.49'],['hunt_et_al']
CC[NH+:17](CC)CCNC(=O)c1cc(c(cc1OC)N)Cl,O,0,0,9.51,['9.51'],['hunt_et_al']
C[C@H](C(=O)c1cccc(c1)Cl)[NH2+:14]C(C)(C)C,O,0,0,8.4,['8.4'],['hunt_et_al']
CC(C)(c1ccc(cc1)[C@H](CCCN2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O)C(=O)[OH:35],O,0,0,2.26,['2.26'],['hunt_et_al']
CC(C)(c1ccc(cc1)[C@H](CCC[NH+:33]2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O)C(=O)O,O,0,0,7.53,['7.53'],['hunt_et_al']
CC(C)(c1ccc(cc1)[C@H](CCC[NH+:33]2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O)C(=O)[O-],O,0,0,7.53,['7.53'],['hunt_et_al']
CC(C)(c1ccc(cc1)[C@H](CCC[NH+]2CCC(CC2)C(c3ccccc3)(c4ccccc4)O)O)C(=O)[OH:35],O,0,0,2.26,['2.26'],['hunt_et_al']
CCN(CC)CCNC(=O)c1ccc(cc1)[NH:15]S(=O)(=O)C,O,0,0,7.52,['7.52'],['hunt_et_al']
CC[NH+:17](CC)CCNC(=O)c1ccc(cc1)NS(=O)(=O)C,O,0,0,9.35,['9.35'],['hunt_et_al']
CC[NH+:17](CC)CCNC(=O)c1ccc(cc1)[N-]S(=O)(=O)C,O,0,0,9.35,['9.35'],['hunt_et_al']
CC[NH+](CC)CCNC(=O)c1ccc(cc1)[NH:15]S(=O)(=O)C,O,0,0,7.52,['7.52'],['hunt_et_al']
Cn1c2ccccc2nc1[S@@](=O)Cc3cccc[nH+:15]3,O,0,0,2.6,['2.6'],['hunt_et_al']
c1ccc2c(c1)[nH:16]c(n2)[S@@](=O)Cc3ccccn3,O,0,0,8.8,['8.8'],['hunt_et_al']
c1ccc2c(c1)[nH]c(n2)[S@@](=O)Cc3cccc[nH+:14]3,O,0,0,3.1,['3.1'],['hunt_et_al']
CCOC(=O)c1ccccc1S(=O)(=O)[NH:19]C(=O)Nc2nc(cc(n2)Cl)OC,O,0,0,4.2,['4.2'],['hunt_et_al']
c1cc(c(cc1/C=C/C(=O)O[C@@H]2C[C@@](C[C@H]([C@H]2O)O)(C(=O)[OH:21])O)O)O,O,0,0,3.33,['3.33'],['hunt_et_al']
Cc1nc(nc(n1)OC)NC(=O)[NH:17]S(=O)(=O)c2ccccc2Cl,O,0,0,3.4,['3.4'],['hunt_et_al']
COCCOc1ccccc1S(=O)(=O)[NH:20]C(=O)Nc2nc(nc(n2)OC)OC,O,0,0,4.72,['4.72'],['hunt_et_al']
CCn1c2cc3c(cc2c(=O)c(n1)C(=O)[OH:19])OCO3,O,0,0,4.36,['4.36'],['hunt_et_al']
c1c2c(cc(c1F)N3CCNCC3)n(cc(c2=O)C(=O)[OH:23])C4CC4,O,0,0,6.13,['6.13'],['hunt_et_al']
c1c2c(cc(c1F)N3CC[NH2+:18]CC3)n(cc(c2=O)C(=O)O)C4CC4,O,0,0,8.57,['8.57'],['hunt_et_al']
c1c2c(cc(c1F)N3CC[NH2+:18]CC3)n(cc(c2=O)C(=O)[O-])C4CC4,O,0,0,8.57,['8.57'],['hunt_et_al']
c1c2c(cc(c1F)N3CC[NH2+]CC3)n(cc(c2=O)C(=O)[OH:23])C4CC4,O,0,0,6.13,['6.13'],['hunt_et_al']
CCOc1nc(cc2n1nc(n2)S(=O)(=O)[NH:20]c3c(cccc3Cl)C(=O)OC)F,O,0,0,4.81,['4.81'],['hunt_et_al']
C/C=C/C[OH:5],O,0,0,15.8,['15.8'],['hunt_et_al']
c1cc(c(cc1Cl)Cl)NC(=O)C2(CC2)C(=O)[OH:15],O,0,0,3.5,['3.5'],['hunt_et_al']
C([C@@H](C(=O)O)N)[SH:7],O,0,0,8.4,['8.4'],['hunt_et_al']
C([C@@H](C(=O)[O-])[NH3+])[SH:7],O,0,0,8.4,['8.4'],['hunt_et_al']
CN1CCN(CC1)c2cc3c(cc2F)c(=O)c(cn3c4ccc(cc4)F)C(=O)[OH:27],O,0,0,5.81,['5.81'],['hunt_et_al']
C[NH+:24]1CCN(CC1)c2cc3c(cc2F)c(=O)c(cn3c4ccc(cc4)F)C(=O)O,O,0,0,7.39,['7.39'],['hunt_et_al']
C[NH+:24]1CCN(CC1)c2cc3c(cc2F)c(=O)c(cn3c4ccc(cc4)F)C(=O)[O-],O,0,0,7.39,['7.39'],['hunt_et_al']
C[NH+]1CCN(CC1)c2cc3c(cc2F)c(=O)c(cn3c4ccc(cc4)F)C(=O)[OH:27],O,0,0,5.81,['5.81'],['hunt_et_al']
C(C[SH:8])[C@@H](C(=O)O)N,O,0,0,8.7,['8.7'],['hunt_et_al']
C(C[SH:8])[C@@H](C(=O)[O-])[NH3+],O,0,0,8.7,['8.7'],['hunt_et_al']
CCn1cc(c(=O)c2c1nc(c(c2)F)N3CCNCC3)C(=O)[OH:22],O,0,0,6.2,['6.2'],['hunt_et_al']
CCn1cc(c(=O)c2c1nc(c(c2)F)N3CC[NH2+:17]CC3)C(=O)O,O,0,0,8.76,['8.76'],['hunt_et_al']
CCn1cc(c(=O)c2c1nc(c(c2)F)N3CC[NH2+:17]CC3)C(=O)[O-],O,0,0,8.76,['8.76'],['hunt_et_al']
CCn1cc(c(=O)c2c1nc(c(c2)F)N3CC[NH2+]CC3)C(=O)[OH:22],O,0,0,6.2,['6.2'],['hunt_et_al']
CC[SH:3],O,0,0,10.61,['10.61'],['hunt_et_al']
CCOCC[OH:5],O,0,0,14.98,['14.98'],['hunt_et_al']
CCOc1ccccc1OS(=O)(=O)[NH:19]C(=O)Nc2nc(cc(n2)OC)OC,O,0,0,5.28,['5.28'],['hunt_et_al']
CCOC(=O)[C@H](C[SH:9])N,O,0,0,6.53,['6.53'],['hunt_et_al']
CCOC(=O)C[SH:7],O,0,0,7.95,['7.95'],['hunt_et_al']
C[C@@H](Cc1ccc(cc1)C(C)(C)C)C[NH+:20]2CCCCC2,O,0,0,10.13,['10.13'],['hunt_et_al']
C[C@@H]1C[NH+:21](C[C@@H](O1)C)C[C@@H](C)Cc2ccc(cc2)C(C)(C)C,O,0,0,6.98,['6.98'],['hunt_et_al']
COc1cc(nc(n1)NC(=O)[NH:18]S(=O)(=O)c2c(cccn2)C(F)(F)F)OC,O,0,0,4.37,['4.37'],['hunt_et_al']
CN1CCN(CC1)c2c(cc3c(c2F)n(cc(c3=O)C(=O)[OH:23])CCF)F,O,0,0,5.6,['5.6'],['hunt_et_al']
C[NH+:20]1CCN(CC1)c2c(cc3c(c2F)n(cc(c3=O)C(=O)O)CCF)F,O,0,0,7.91,['7.91'],['hunt_et_al']
C[NH+:20]1CCN(CC1)c2c(cc3c(c2F)n(cc(c3=O)C(=O)[O-])CCF)F,O,0,0,7.91,['7.91'],['hunt_et_al']
C[NH+]1CCN(CC1)c2c(cc3c(c2F)n(cc(c3=O)C(=O)[OH:23])CCF)F,O,0,0,5.6,['5.6'],['hunt_et_al']
Cn1c(nn(c1=O)C(=O)[NH:16]S(=O)(=O)c2ccccc2OC(F)(F)F)OC,O,0,0,1.9,['1.9'],['hunt_et_al']
[C@@H](C(C(C(F)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)[OH:7],O,0,0,10.48,['10.48'],['hunt_et_al']
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)[OH:8],O,0,0,10.52,['10.52'],['hunt_et_al']
C(C(F)(F)F)(C(F)(F)F)(C(F)(F)Cl)[OH:5],O,0,0,5.3,['5.3'],['hunt_et_al']
c1ccc2c(c1)-c3ccccc3C2(C(=O)[OH:16])O,O,0,0,1.09,['1.09'],['hunt_et_al']
c1cc(c(cc1N(=O)=O)Cl)[NH:14]S(=O)(=O)c2ccc(c(c2)C(F)(F)F)Cl,O,0,0,4.89,['4.89'],['hunt_et_al']
C(=O)N[OH:4],O,0,0,8.65,['8.65'],['hunt_et_al']
c1cc(oc1)C[NH3+:6],O,0,0,8.89,['8.89'],['hunt_et_al']
C[C@@H]1C[N@@](CCN1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)[OH:25])C4CC4)F,O,0,0,6.05,['6.05'],['hunt_et_al']
C[C@@H]1C[N@@](CC[NH2+:20]1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)O)C4CC4)F,O,0,0,9.18,['9.18'],['hunt_et_al']
C[C@@H]1C[N@@](CC[NH2+:20]1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)[O-])C4CC4)F,O,0,0,9.18,['9.18'],['hunt_et_al']
C[C@@H]1C[N@@](CC[NH2+]1)c2c(cc3c(c2OC)n(cc(c3=O)C(=O)[OH:25])C4CC4)F,O,0,0,6.05,['6.05'],['hunt_et_al']
CO/N=C/1\C[N@](C[C@@H]1CN)c2c(cc3c(=O)c(cn(c3n2)C4CC4)C(=O)[OH:26])F,O,0,0,6.36,['6.36'],['hunt_et_al']
CO/N=C/1\C[N@](C[C@@H]1C[NH3+:23])c2c(cc3c(=O)c(cn(c3n2)C4CC4)C(=O)O)F,O,0,0,8.6,['8.6'],['hunt_et_al']
CO/N=C/1\C[N@](C[C@@H]1C[NH3+:23])c2c(cc3c(=O)c(cn(c3n2)C4CC4)C(=O)[O-])F,O,0,0,8.6,['8.6'],['hunt_et_al']
CO/N=C/1\C[N@](C[C@@H]1C[NH3+])c2c(cc3c(=O)c(cn(c3n2)C4CC4)C(=O)[OH:26])F,O,0,0,6.36,['6.36'],['hunt_et_al']
C[C@@]12[C@H](C=C[C@@]3([C@@H]1[C@@H]([C@]45[C@H]3CC[C@](C4)(C(=C)C5)O)C(=O)[OH:23])OC2=O)O,O,0,0,4,['4.0'],['hunt_et_al']
C(CC(=O)N[C@@H](C[SH:20])C(=O)NCC(=O)O)[C@@H](C(=O)O)N,O,0,0,8.56,['8.56'],['hunt_et_al']
C(CC(=O)N[C@@H](C[SH:20])C(=O)NCC(=O)O)[C@@H](C(=O)[O-])[NH3+],O,0,0,8.56,['8.56'],['hunt_et_al']
Cn1c(c(c(n1)Cl)C(=O)OC)S(=O)(=O)[NH:19]C(=O)Nc2nc(cc(n2)OC)OC,O,0,0,3.44,['3.44'],['hunt_et_al']
C[C@@H](C(=O)[OH:18])Oc1ccc(cc1)Oc2c(cc(cn2)C(F)(F)F)Cl,O,0,0,2.9,['2.9'],['hunt_et_al']
C(C(F)(F)F)(C(F)(F)F)[OH:4],O,0,0,9.3,['9.3'],['hunt_et_al']
CCCCCC(=O)N[OH:9],O,0,0,9.75,['9.75'],['hunt_et_al']
c1ccc(cc1)C(=O)NCC(=O)N[OH:14],O,0,0,8.8,['8.8'],['hunt_et_al']
Cc1cc(no1)[OH:7],O,0,0,5.92,['5.92'],['hunt_et_al']
Cc1c(c2cc(ccc2n1C(=O)c3ccc(cc3)Cl)OC)CC(=O)[OH:23],O,0,0,4.42,['4.42'],['hunt_et_al']
Cc1nc(nc(n1)OC)NC(=O)[NH:19]S(=O)(=O)c2cc(ccc2C(=O)OC)I,O,0,0,3.22,['3.22'],['hunt_et_al']
c1cc(c(cc1[OH:11])C(F)(F)F)N(=O)=O,O,0,0,6.07,['6.07'],['hunt_et_al']
C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CCN(CC4)C)F)C(=O)[OH:25],O,0,0,6.06,['6.06'],['hunt_et_al']
C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CC[NH+:21](CC4)C)F)C(=O)O,O,0,0,8.14,['8.14'],['hunt_et_al']
C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CC[NH+:21](CC4)C)F)C(=O)[O-],O,0,0,8.14,['8.14'],['hunt_et_al']
C[C@H]1COc2c3n1cc(c(=O)c3cc(c2N4CC[NH+](CC4)C)F)C(=O)[OH:25],O,0,0,6.06,['6.06'],['hunt_et_al']
CCn1cc(c(=O)c2c1c(c(c(c2)F)[N@@]3CCN[C@@H](C3)C)F)C(=O)[OH:23],O,0,0,5.82,['5.82'],['hunt_et_al']
Cc1cc(ccc1O[C@@H](C)C(=O)[OH:12])Cl,O,0,0,3.78,['3.78'],['hunt_et_al']
CC(=O)C[SH:5],O,0,0,7.86,['7.86'],['hunt_et_al']
C1[C@@H](C(=O)NC1=O)[SH:8],O,0,0,6.7,['6.7'],['hunt_et_al']
C1[C@@H](C(=O)[N-]C1=O)[SH:8],O,0,0,6.7,['6.7'],['hunt_et_al']
COc1cc(cc(c1OC)OC)CC[NH3+:12],O,0,0,9.56,['9.56'],['hunt_et_al']
COc1cc(nc(n1)NC(=O)[NH:21]S(=O)(=O)c2cc(ccc2C(=O)OC)CNS(=O)(=O)C)OC,O,0,0,4.35,['4.35'],['hunt_et_al']
C[SH:2],O,0,0,10.33,['10.33'],['hunt_et_al']
C[OH:2],O,0,0,15.5,['15.5'],['hunt_et_al']
COC(=O)C[SH:6],O,0,0,8.08,['8.08'],['hunt_et_al']
Cc1nc(nc(n1)OC)NC(=O)[NH:19]S(=O)(=O)c2ccccc2C(=O)OC,O,0,0,3.8,['3.8'],['hunt_et_al']
c1cc(cc(c1)N(=O)=O)C(=O)N[OH:13],O,0,0,8.07,['8.07'],['hunt_et_al']
COc1c2c(cc(c1[N@@]3C[C@@H]4CCCN[C@@H]4C3)F)c(=O)c(cn2C5CC5)C(=O)[OH:27],O,0,0,6.31,['6.31'],['hunt_et_al']
COc1c2c(cc(c1[N@@]3C[C@@H]4CCC[NH2+:22][C@@H]4C3)F)c(=O)c(cn2C5CC5)C(=O)O,O,0,0,9.51,['9.51'],['hunt_et_al']
COc1c2c(cc(c1[N@@]3C[C@@H]4CCC[NH2+:22][C@@H]4C3)F)c(=O)c(cn2C5CC5)C(=O)[O-],O,0,0,9.51,['9.51'],['hunt_et_al']
COc1c2c(cc(c1[N@@]3C[C@@H]4CCC[NH2+][C@@H]4C3)F)c(=O)c(cn2C5CC5)C(=O)[OH:27],O,0,0,6.31,['6.31'],['hunt_et_al']
CC(=O)N[C@H](C(=O)O)C(C)(C)[SH:12],O,0,0,9.9,['9.9'],['hunt_et_al']
CC(=O)N[C@H](C(=O)[O-])C(C)(C)[SH:12],O,0,0,9.9,['9.9'],['hunt_et_al']
c1ccc2c(c1)cccc2NC(=O)c3ccccc3C(=O)[OH:22],O,0,0,4.6,['4.6'],['hunt_et_al']
CCCC(=O)N[OH:7],O,0,0,9.48,['9.48'],['hunt_et_al']
c1ccc2c(c1)C(=O)N(C2=O)[OH:12],O,0,0,6.5,['6.5'],['hunt_et_al']
CN(C)C(=O)c1cccnc1S(=O)(=O)[NH:20]C(=O)Nc2nc(cc(n2)OC)OC,O,0,0,4.6,['4.6'],['hunt_et_al']
CNC(=O)C[SH:6],O,0,0,8.05,['8.05'],['hunt_et_al']
CCn1cc(c(=O)c2c1cc(c(c2)F)N3CCNCC3)C(=O)[OH:22],O,0,0,6.3,['6.3'],['hunt_et_al']
CCn1cc(c(=O)c2c1cc(c(c2)F)N3CC[NH2+]CC3)C(=O)[OH:22],O,0,0,6.3,['6.3'],['hunt_et_al']
c1ccc(cc1)C(=O)N(c2ccccc2)[OH:16],O,0,0,8.38,['8.38'],['hunt_et_al']
c1ccc(cc1)NC(=O)c2ccccc2C(=O)[OH:18],O,0,0,2.5,['2.5'],['hunt_et_al']
Cc1ccccc1[SH:8],O,0,0,6.64,['6.64'],['hunt_et_al']
Cc1cc(nc(n1)NC(=O)[NH:21]S(=O)(=O)c2ccccc2C(=O)OC3COC3)C,O,0,0,5.1,['5.1'],['hunt_et_al']
c1cc(ccc1OCC(=O)N[OH:11])Cl,O,0,0,8.75,['8.75'],['hunt_et_al']
CCn1cc(c(=O)c2c1cc(c(c2)F)N3CCN(CC3)C)C(=O)[OH:23],O,0,0,6.28,['6.28'],['hunt_et_al']
CCn1cc(c(=O)c2c1cc(c(c2)F)N3CC[NH+:20](CC3)C)C(=O)O,O,0,0,7.55,['7.55'],['hunt_et_al']
CCn1cc(c(=O)c2c1cc(c(c2)F)N3CC[NH+:20](CC3)C)C(=O)[O-],O,0,0,7.55,['7.55'],['hunt_et_al']
CCn1cc(c(=O)c2c1cc(c(c2)F)N3CC[NH+](CC3)C)C(=O)[OH:23],O,0,0,6.28,['6.28'],['hunt_et_al']
CC(C)([C@H](C(=O)O)N)[SH:9],O,0,0,7.9,['7.9'],['hunt_et_al']
CC(C)([C@H](C(=O)[O-])[NH3+])[SH:9],O,0,0,7.9,['7.9'],['hunt_et_al']
c1(c(c(c(c(c1Br)Br)Br)Br)Br)[OH:7],O,0,0,4.62,['4.62'],['hunt_et_al']
C(C(CO)(CO)CO)[OH:6],O,0,0,14.1,['14.1'],['hunt_et_al']
CC(=O)O[OH:4],O,0,0,8.2,['8.2'],['hunt_et_al']
C(=O)O[OH:3],O,0,0,7.1,['7.1'],['hunt_et_al']
c1ccc(cc1)OCC[OH:9],O,0,0,14.6,['14.6'],['hunt_et_al']
CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)COc3ccccc3)C(=O)[OH:22])C,O,0,0,2.79,['2.79'],['hunt_et_al']
Cc1ccc(cc1)C(=O)N[OH:11],O,0,0,8.9,['8.9'],['hunt_et_al']
CCC(=O)O[OH:5],O,0,0,8.2,['8.2'],['hunt_et_al']
Cc1nc(nc(n1)OC)NC(=O)[NH:20]S(=O)(=O)c2ccccc2CCC(F)(F)F,O,0,0,3.76,['3.76'],['hunt_et_al']
CCOC(=O)c1cnn(c1S(=O)(=O)[NH:20]C(=O)Nc2nc(cc(n2)OC)OC)C,O,0,0,3.7,['3.7'],['hunt_et_al']
COc1cc(nc(n1)Sc2cccc(c2C(=O)[OH:17])Cl)OC,O,0,0,2.34,['2.34'],['hunt_et_al']
CCS(=O)(=O)c1cccnc1S(=O)(=O)[NH:19]C(=O)Nc2nc(cc(n2)OC)OC,O,0,0,4,['4.0'],['hunt_et_al']
c1ccc(cc1)NC(=O)c2ccccc2[OH:16],O,0,0,7.4,['7.4'],['hunt_et_al']
C(=O)[OH:3],O,0,0,3.742,['3.742'],['hunt_et_al']
CCCC(=O)[OH:6],O,0,0,4.82,['4.82'],['hunt_et_al']
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)[OH:7],O,0,0,4.74,['4.74'],['hunt_et_al']
c1(c(c(c(c(c1F)F)F)F)F)[OH:7],O,0,0,5.6,['5.6'],['hunt_et_al']
c1c(cc(c(c1Cl)Cl)Cl)[OH:7],O,0,0,7.84,['7.84'],['hunt_et_al']
c1cc(c(c(c1)Cl)Cl)[OH:7],O,0,0,7.7,['7.7'],['hunt_et_al']
c1cc(c(cc1[OH:7])Cl)Cl,O,0,0,8.63,['8.63'],['hunt_et_al']
c1cc(c(cc1Br)Br)[OH:7],O,0,0,7.84,['7.84'],['hunt_et_al']
c1cc(c(c(c1)Br)[OH:7])Br,O,0,0,6.67,['6.67'],['hunt_et_al']
c1cc(c(c(c1)[OH:13])N(=O)=O)N(=O)=O,O,0,0,4.96,['4.96'],['hunt_et_al']
c1c(cc(cc1N(=O)=O)[OH:13])N(=O)=O,O,0,0,6.69,['6.69'],['hunt_et_al']
c1c(cc(c(c1Cl)[OH:10])Cl)N(=O)=O,O,0,0,3.6,['3.6'],['hunt_et_al']
c1c(cc(c(c1Br)[OH:10])Br)N(=O)=O,O,0,0,3.39,['3.39'],['hunt_et_al']
c1c(cc(c(c1N(=O)=O)[OH:13])Cl)N(=O)=O,O,0,0,2.2,['2.2'],['hunt_et_al']
c1cc(c(cc1N(=O)=O)Cl)[OH:10],O,0,0,5.6,['5.6'],['hunt_et_al']
c1cc(c(cc1F)[OH:10])N(=O)=O,O,0,0,6.07,['6.07'],['hunt_et_al']
CCC/C=C(/C)\C(=O)[OH:9],O,0,0,4.74,['4.74'],['hunt_et_al']
c1ccc(cc1)OCC(=O)[OH:10],O,0,0,3.17,['3.17'],['hunt_et_al']
c1c(cc(c(c1C(=O)[OH:10])O)I)I,O,0,0,2.3,['2.3'],['hunt_et_al']
Cc1cc(cc(c1[OH:14])N(=O)=O)N(=O)=O,O,0,0,4.31,['4.31'],['hunt_et_al']
Cc1cc(c(c(c1)N(=O)=O)[OH:14])N(=O)=O,O,0,0,4.23,['4.23'],['hunt_et_al']
Cc1ccc(cc1[OH:11])N(=O)=O,O,0,0,8.64,['8.64'],['hunt_et_al']
Cc1ccc(c(c1)N(=O)=O)[OH:11],O,0,0,7.55,['7.55'],['hunt_et_al']
C([C@@H]([C@@H]([C@@H]([C@H](C(=O)[OH:8])O)O)O)O)O,O,0,0,3.62,['3.62'],['hunt_et_al']
c1cc(c(cc1CC(=O)[OH:12])O)O,O,0,0,4.25,['4.25'],['hunt_et_al']
CNCC(=O)[OH:6],O,0,0,2.35,['2.35'],['hunt_et_al']
C[NH2+:4]CC(=O)O,O,0,0,10.18,['10.18'],['hunt_et_al']
C[NH2+:4]CC(=O)[O-],O,0,0,10.18,['10.18'],['hunt_et_al']
C[NH2+]CC(=O)[OH:6],O,0,0,2.35,['2.35'],['hunt_et_al']
Cc1c(c(c(c(c1F)F)C(=O)[OH:10])F)F,O,0,0,2,['2.0'],['hunt_et_al']
C(CC(=O)[OH:8])CC(=O)O,O,0,0,4.34,['4.34'],['hunt_et_al']
C(CC(=O)[OH:8])CC(=O)[O-],O,0,0,5.41,['5.41'],['hunt_et_al']
C(C(=O)[OH:8])NC(=O)N,O,0,0,3.89,['3.89'],['hunt_et_al']
C[C@@H](C(=O)[OH:6])N,O,0,0,2.35,['2.35'],['hunt_et_al']
C[C@@H](C(=O)O)[NH3+:4],O,0,0,10,['10.0'],['hunt_et_al']
C[C@@H](C(=O)[O-])[NH3+:4],O,0,0,10,['10.0'],['hunt_et_al']
C[C@@H](C(=O)[OH:6])[NH3+],O,0,0,2.35,['2.35'],['hunt_et_al']
C(CCC(=O)O)CC(=O)[OH:9],O,0,0,4.43,['4.43'],['hunt_et_al']
C(CCC(=O)[O-])CC(=O)[OH:9],O,0,0,5.41,['5.41'],['hunt_et_al']
CCOC(=O)c1ccc(cc1)[OH:11],O,0,0,8.34,['8.34'],['hunt_et_al']
COc1cc(ccc1O)CC(=O)[OH:12],O,0,0,4.41,['4.41'],['hunt_et_al']
C[C@@H](C(=O)[OH:11])Oc1ccc(cc1Cl)Cl,O,0,0,3.1,['3.1'],['hunt_et_al']
CC(C)[C@@H](C(=O)[OH:8])N,O,0,0,2.29,['2.29'],['hunt_et_al']
CC(C)[C@@H](C(=O)O)[NH3+:6],O,0,0,9.74,['9.74'],['hunt_et_al']
CC(C)[C@@H](C(=O)[O-])[NH3+:6],O,0,0,9.74,['9.74'],['hunt_et_al']
CC(C)[C@@H](C(=O)[OH:8])[NH3+],O,0,0,2.29,['2.29'],['hunt_et_al']
CC(C)(C(=O)[OH:8])C(=O)O,O,0,0,3.15,['3.15'],['hunt_et_al']
CC(C)(C(=O)[OH:8])C(=O)[O-],O,0,0,6.06,['6.06'],['hunt_et_al']
CC(C)(C)c1ccccc1[OH:11],O,0,0,10.62,['10.62'],['hunt_et_al']
CC(C)(C)c1ccc(cc1)[OH:11],O,0,0,10.23,['10.23'],['hunt_et_al']
Cc1ccc(c(c1)[OH:11])C(C)C,O,0,0,10.62,['10.62'],['hunt_et_al']
c1ccc(c(c1)OCC(=O)[OH:10])F,O,0,0,3.08,['3.08'],['hunt_et_al']
c1cc(cc(c1)F)OCC(=O)[OH:10],O,0,0,3.07,['3.07'],['hunt_et_al']
c1cc(ccc1OCC(=O)[OH:10])F,O,0,0,3.56,['3.56'],['hunt_et_al']
Cc1ccc(c(c1)C(C)(C)C)[OH:12],O,0,0,11.5,['11.5'],['hunt_et_al']
c1cc(c(cc1Cl)Cl)OCC(=O)[OH:10],O,0,0,2.64,['2.64'],['hunt_et_al']
COC(=O)[C@H](CC(=O)[OH:17])c1ccc(cc1)N(=O)=O,O,0,0,4.07,['4.07'],['hunt_et_al']
CC(=O)[C@@H](C(=O)OCc1ccccc1)[NH3+:12],O,0,0,5.2,['5.2'],['hunt_et_al']
CC(C)(C)c1cccc(c1[OH:13])[S@@](=O)C,O,0,0,9.5,['9.5'],['hunt_et_al']
CCCCP(=O)(CCCC)[C@](C)(C(=O)[OH:14])O,O,0,0,2.94,['2.94'],['hunt_et_al']
C[N+](C)(C)c1ccc(cc1)CC(=O)[OH:14],O,0,0,3.75,['3.75'],['hunt_et_al']
C[N+](C)(C)CCc1ccccc1[OH:13],O,0,0,9.57,['9.57'],['hunt_et_al']
c1ccc(c(c1)c2ccccc2O)[OH:13],O,0,0,7.56,['7.56'],['hunt_et_al']
COC(=O)c1cc2ccccc2c(c1)[OH:14],O,0,0,8.75,['8.75'],['hunt_et_al']
COc1ccc(c2c1cccc2)C(=O)[OH:14],O,0,0,4.31,['4.31'],['hunt_et_al']
Cc1cc(c(c(c1)/C(=C/C(=O)[OH:15])/C)O)C,O,0,0,4.54,['4.54'],['hunt_et_al']
C[C@@](CC(=O)[OH:15])(c1ccccc1)C(=O)OC,O,0,0,4.46,['4.46'],['hunt_et_al']
