,Solute SMILES,Solvent SMILES,Solute CAS,Solute IUPAC,pKa (avg),pKa (all),Source (all)
1727,Clc1ccc2nsnc2c1NC1=[NH+:12]CCN1,O,0,0,7.52,[7.52],"[""['hunt_et_al']""]"
1728,C1C[NH2+]CCN1,O,8057-14-5,piperazin-1-ium,9.72,[9.72],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1729,CCOC(=O)C(C#N)c1c(F)c(F)nc(F)c1F,CC#N,55810-61-2,"ethyl 2-cyano-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetate",14.8975,"[14.9, 14.9, 14.9, 14.89]","[""['a_unified_view_to_bronsted_acidity_scales.pdf', 'leito_acids']"", ""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
1730,O=C(Cc1ccccc1Cl)[OH:10],O,0,0,4.07,[4.07],"[""['hunt_et_al']""]"
1731,O=C1c2ccccc2C(=O)c2c1cccc2C(=O)[OH:19],O,0,0,3.37,[3.37],"[""['hunt_et_al']""]"
1732,O=C(O)CCO,CC#N,503-66-2,3-hydroxypropanoic acid,21.0,[21.0],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1733,N#Cc1ccc2[nH]c(-c3ccc(F)cc3)c(CCCC(=O)[NH:23]S(N)(=O)=O)c2c1,O,0,0,5.9,[5.9],"[""['hunt_et_al']""]"
1734,Cc1cccc([NH3+:8])c1,O,0,0,4.69,[4.69],"[""['hunt_et_al']""]"
1735,O=C([O-])[C@@H](Cc1c[nH]c2ccccc12)[NH3+:13],O,0,0,9.1,[9.1],"[""['hunt_et_al']""]"
1736,C[Si](C)(C)C[NH3+:5],O,0,0,10.96,[10.96],"[""['hunt_et_al']""]"
1737,N#CC(c1c(F)c(F)nc(F)c1F)c1c(F)c(F)nc(F)c1F,CS(=O)C,64934-72-1,"2,2-bis(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",2.4,[2.4],"[""['a_unified_view_to_bronsted_acidity_scales.pdf']""]"
1738,N#CC(C#N)C#N,C(CCl)Cl,454-50-2,methanetricarbonitrile,38.6,"[38.6, 38.6]","[""['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
1739,c1cnc2ncc([OH:11])nc2c1,O,0,0,7.88,[7.88],"[""['hunt_et_al']""]"
1740,Cc1ccc(O)c(C(=O)[OH:11])c1,O,0,0,4.08,[4.08],"[""['hunt_et_al']""]"
1741,N#Cc1ccc(OCC(=O)[OH:12])cc1,O,0,0,2.93,[2.93],"[""['hunt_et_al']""]"
1742,O=[N+]([O-])c1ccc([OH:13])cc1[N+](=O)[O-],O,0,0,5.42,[5.42],"[""['hunt_et_al']""]"
1743,Cc1ccc(C(=O)NS(=O)(=O)C(F)(F)F)cc1,CC#N,343337-70-2,4-methyl-N-(trifluoromethylsulfonyl)benzamide,11.46,"[11.46, 11.46, 11.46]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
1744,O=C(OC(F)(F)C(F)(F)F)c1ccc([NH3+:10])cc1,O,0,0,3.78,[3.78],"[""['hunt_et_al']""]"
1745,CN(C(=O)c1ccccc1)c1cccc[nH+:14]1,O,0,0,1.44,[1.44],"[""['hunt_et_al']""]"
1746,Fc1cccc([OH:7])c1,O,0,0,9.28,[9.28],"[""['hunt_et_al']""]"
1747,OCCCC[NH3+:5],O,0,0,10.35,[10.35],"[""['hunt_et_al']""]"
1748,N#Cc1cn(Cc2ccco2)c(=O)[nH:12]c1=O,O,0,0,6.1,[6.1],"[""['hunt_et_al']""]"
1749,O=C1CC2(CCCC2)CC(=O)N1CCCC[NH+:26]1CCN(c2ncccn2)CC1,O,0,0,7.61,[7.61],"[""['hunt_et_al']""]"
1750,c1ncc2cc([OH:11])ccc2n1,O,0,0,8.21,[8.21],"[""['hunt_et_al']""]"
1751,CC(C)(C)Sc1ccc([NH3+:11])cc1,O,0,0,3.44,[3.44],"[""['hunt_et_al']""]"
1752,Cc1cccc(C)c1[NH+:11](C)C,O,0,0,4.3,[4.3],"[""['hunt_et_al']""]"
1753,C[C@H]1C[NH+:9]=C(C(C)(C)C)S1,O,0,0,5.027,[5.027],"[""['hunt_et_al']""]"
1754,Cc1cc([OH:8])ncn1,O,0,0,9.1,[9.1],"[""['hunt_et_al']""]"
1755,c1ccc2c([OH:17])c(/N=N/c3nccs3)ccc2c1,O,0,0,9.1,[9.1],"[""['hunt_et_al']""]"
1756,O=[N+]([O-])c1ccc(S(=O)(=O)NS(=O)(=NS(=O)(=O)C(F)(F)F)c2ccc(Cl)cc2)cc1,CC#N,174788-97-7,,3.33,[3.33],"[""['leito_acids']""]"
1757,c1ccc2c(c1)CC[C@@H]2[NH2+:19][C@H]1CCc2ccccc21,O,0,0,6.46,[6.46],"[""['hunt_et_al']""]"
1758,N#Cc1ccc(O)cc1,CC#N,767-00-0,4-hydroxybenzonitrile,22.7,[22.7],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1759,C[NH2+]C,O,49784-85-2,dimethylazanium,10.64,[10.64],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1760,Cc1ccccc1[NH2+:17][C@H]1CCc2ccccc21,O,0,0,0.83,[0.83],"[""['hunt_et_al']""]"
1761,CC(C)c1ccc([OH:10])cc1,O,0,0,10.24,[10.24],"[""['hunt_et_al']""]"
1762,COc1cc(OC)nc(NC(=O)[NH:22]S(=O)(=O)c2cc(NC=O)ccc2C(=O)N(C)C)n1,O,0,0,4.6,[4.6],"[""['hunt_et_al']""]"
1763,O=[N+]([O-])C([N+](=O)[O-])[N+](=O)[O-],CC#N,517-25-9,trinitromethane,7.3,[7.3],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1764,FC(F)(F)C(F)(F)[C@@H](C(F)(F)C(F)(F)C(F)(F)F)[OH:7],O,0,0,10.48,[10.48],"[""['hunt_et_al']""]"
1765,C=CC[NH+:8](C)CC=C,O,0,0,8.79,[8.79],"[""['hunt_et_al']""]"
1766,CC(C)Oc1ccc(C(=O)[OH:12])cc1,O,0,0,4.68,[4.68],"[""['hunt_et_al']""]"
1767,N#CC(c1c(F)c(F)nc(F)c1F)c1c(F)c(F)c(F)c(F)c1F,C(CCl)Cl,62325-51-3,"2-(2,3,4,5,6-pentafluorophenyl)-2-(2,3,5,6-tetrafluoropyridin-4-yl)acetonitrile",50.5,"[50.5, 50.5]","[""['leito_acids']"", ""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
1768,CCCCC[NH+:10]1CCOCC1,O,0,0,7.69,[7.69],"[""['hunt_et_al']""]"
1769,COc1ccc([C@@H](O)C[NH2+:14]C(C)C)cc1OC,O,0,0,9.58,[9.58],"[""['hunt_et_al']""]"
1770,O=[N+]([O-])c1c[nH]c2ccccc12,O,4770-03-0,3-nitro-1H-indole,10.12,[10.12],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
1771,COc1ccc([NH3+])cc1,CC#N,,(4-methoxyphenyl)azanium,11.86,[11.86],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
1772,CC(=O)c1cc(C(C)(C)C)c([OH:18])c(C(C)(C)C)c1,O,0,0,8.68,[8.68],"[""['hunt_et_al']""]"
1773,COc1ccc(S(=O)(=O)[NH:27]C(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,O,0,0,3.6,[3.6],"[""['hunt_et_al']""]"
1774,N#CC(C#N)=CC(C#N)C#N,C(CCl)Cl,32019-26-4,"prop-1-ene-1,1,3,3-tetracarbonitrile",34.3,[34.3],"[""['leito_acids']""]"
1775,Cc1c(C2(c3cc(Br)c(O)c(Br)c3C)OS(=O)(=O)c3ccccc32)cc(Br)c(O)c1Br,C(CCl)Cl,76-60-8,"2,6-dibromo-4-[3-(3,5-dibromo-4-hydroxy-2-methylphenyl)-1,1-dioxo-2,1λ6-benzoxathiol-3-yl]-3-methylphenol",45.2,[45.2],"[""['leito_acids']""]"
1776,C[C@H](N)C(=O)[OH:6],O,0,0,2.35,[2.35],"[""['hunt_et_al']""]"
1777,CC[NH+:17](CC)[C@@H](C)C=C(c1cccs1)c1cccs1,O,0,0,8.85,[8.85],"[""['hunt_et_al']""]"
1778,c1c[nH][nH+]c1,O,,1H-pyrazol-2-ium,2.48,"[2.48, 2.48]","[""['pKa_values_of_nitrogen_heterocycles.pdf', 'Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1779,Brc1ccccc1[OH:7],O,0,0,8.39,[8.39],"[""['hunt_et_al']""]"
1780,N#CC(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CS(=O)C,42238-35-7,"2-(2,3,4,5,6-pentafluorophenyl)-2-[2,3,5,6-tetrafluoro-4-(trifluoromethyl)phenyl]acetonitrile",4.9,"[4.9, 4.9]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf']""]"
1781,O=C1NS(=O)(=O)c2ccccc21,O,128-44-9,"1,1-dioxo-1,2-benzothiazol-3-one",1.8,"[1.8, 1.8]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
1782,OCC[NH+:12](CCO)Cc1ccccc1,O,0,0,7.68,[7.68],"[""['hunt_et_al']""]"
1783,COc1ccc([N+](=O)[O-])c([NH3+:8])c1,O,0,0,-0.72,[-0.72],"[""['hunt_et_al']""]"
1784,CC(C)[NH2+:14]C[C@H](O)c1ccc([N-]S(C)(=O)=O)cc1,O,0,0,9.3,[9.3],"[""['hunt_et_al']""]"
1785,N#CC(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F,C(CCl)Cl,174191-48-1,"2,2-bis((trifluoromethyl)sulfonyl)acetonitrile",30.0,[30.0],"[""['leito_acids']""]"
1786,c1cnc2c([OH:11])nccc2c1,O,0,0,12.04,[12.04],"[""['hunt_et_al']""]"
1787,CC1([NH3+:8])CCCCC1,O,0,0,10.36,[10.36],"[""['hunt_et_al']""]"
1788,COc1ccc(Cc2c3cc(OC)c(OC)cc3cc[nH+:21]2)cc1OC,O,0,0,6.4,[6.4],"[""['hunt_et_al']""]"
1789,NC(Nc1ccccc1)=[NH+]c1ccccc1,O,-,[amino(anilino)methylidene]-phenylazanium,10.02,[10.02],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1790,C[C@@H]1C[C@H](Cl)[C@@H]2CCCC[C@@H]2[NH2+:11]1,O,0,0,9.67,[9.67],"[""['hunt_et_al']""]"
1791,CN(C)[P+](N)(N(C)C)N(C)C,CS(=O)C,-,amino-tris(dimethylamino)phosphanium,16.4,[16.4],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1792,CC[NH+:14](CC)[C@H](C)C(=O)c1ccccc1,O,0,0,8.8,[8.8],"[""['hunt_et_al']""]"
1793,C[N+](C)(C)c1ccc([NH3+:10])cc1,O,0,0,2.44,[2.44],"[""['hunt_et_al']""]"
1794,COC(=O)c1ccccc1[NH+:11](C)C,O,0,0,3.78,[3.78],"[""['hunt_et_al']""]"
1795,CC(C)(C)c1ccc(SCC(=O)[OH:14])cc1,O,0,0,3.758,[3.758],"[""['hunt_et_al']""]"
1796,Cc1ccc([OH:10])c(C)c1C,O,0,0,10.59,[10.59],"[""['hunt_et_al']""]"
1797,Cc1cc([OH:10])cc(C)c1C,O,0,0,10.25,[10.25],"[""['hunt_et_al']""]"
1798,Cc1c(C)c([OH:11])c(C)c(C)c1O,O,0,0,11.25,[11.25],"[""['hunt_et_al']""]"
1799,O=C(CI)[OH:4],O,0,0,3.18,[3.18],"[""['hunt_et_al']""]"
1800,Oc1c(Br)cc(Br)cc1Br,CC#N,118-79-6,"2,4,6-tribromophenol",20.345,"[20.35, 20.34, 20.34, 20.35]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
1801,C[NH+:19]1CCC(c2ccccc2)(c2ccccc2)CC1,O,0,0,8.65,[8.65],"[""['hunt_et_al']""]"
1802,CSc1ccc([NH3+:8])c(Cl)c1,O,0,0,2.56,[2.56],"[""['hunt_et_al']""]"
1803,Cc1cccc([SH:8])c1,O,0,0,6.66,[6.66],"[""['hunt_et_al']""]"
1804,Cc1nc(N)[nH+:7]c(C)c1Br,O,0,0,3.3,[3.3],"[""['hunt_et_al']""]"
1805,CC[C@@](CC(=O)[OH:16])(C(=O)OC)c1ccccc1,O,0,0,4.46,[4.46],"[""['hunt_et_al']""]"
1806,O=C(c1ccc(O)c2ncccc12)[OH:14],O,0,0,4.8,[4.8],"[""['hunt_et_al']""]"
1807,COc1cccc([C@@]2(O)CCCC[C@@H]2C[NH+:17](C)C)c1,O,0,0,8.3,[8.3],"[""['hunt_et_al']""]"
1808,O=[N+]([O-])c1ccc(-c2ccccc2)cc1[OH:16],O,0,0,6.74,[6.74],"[""['hunt_et_al']""]"
1809,CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[OH:22],O,0,0,2.79,[2.79],"[""['hunt_et_al']""]"
1810,O=[N+]([O-])c1ccc2cc([NH3+:11])ccc2c1,O,0,0,2.62,[2.62],"[""['hunt_et_al']""]"
1811,O=C([C@H]1CCCNC1)[OH:9],O,0,0,3.35,[3.35],"[""['hunt_et_al']""]"
1812,N#CC1=CC(C#N)C=C1C#N,C(CCl)Cl,215395-09-8,"cyclopenta-2,5-diene-1,2,4-tricarbonitrile",38.0,"[38.0, 38.0]","[""['Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
1813,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,O,88-89-1,"2,4,6-trinitrophenol",0.35,"[0.3, 0.4]","[""['pKa_values_of_acids_and_bases_in_MeCN_DCE_DMSO_H2O_THF_C7_DME.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
1814,CC(C)C[N@@H+:12](C)c1ccccc1,O,0,0,5.2,[5.2],"[""['hunt_et_al']""]"
1815,Cc1cccc([N+](=O)[O-])c1[NH3+:8],O,0,0,-0.71,[-0.71],"[""['hunt_et_al']""]"
1816,C1CCC([SH:7])CC1,O,0,0,10.69,[10.69],"[""['hunt_et_al']""]"
1817,N#CC(C#N)=C(C#N)CC(C#N)=C(C#N)C#N,C(CCl)Cl,1261286-78-5,,33.5,[33.5],"[""['leito_acids']""]"
1818,Cc1cc(Br)c([NH3+:8])c(Br)c1,O,0,0,0.69,[0.69],"[""['hunt_et_al']""]"
1819,Cc1cc2ccccc2c(C(=O)[OH:15])c1C,O,0,0,3.28,[3.28],"[""['hunt_et_al']""]"
1820,CCC[NH2+:22]C[C@@H](O)COc1ccccc1C(=O)CCc1ccccc1,O,0,0,9.27,[9.27],"[""['hunt_et_al']""]"
1821,COC(=O)C[SH:6],O,0,0,8.08,[8.08],"[""['hunt_et_al']""]"
1822,c1ccc(CC2=[NH+:11]CCN2)cc1,O,0,0,10.7,[10.7],"[""['hunt_et_al']""]"
1823,Oc1ccccc1C(F)(F)F,O,444-30-4,2-(trifluoromethyl)phenol,8.42,[8.42],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
1824,O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)Nc1c(cccc1[N+](=O)[O-])O2,CC#N,24050-30-4,"1,3,9-trinitro-10H-phenoxazine",21.9,[21.9],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1825,CC[C@](CC(=O)OC)(C(=O)[OH:16])c1ccccc1,O,0,0,4.18,[4.18],"[""['hunt_et_al']""]"
1826,CCCC[NH2+:9]CCCC,O,0,0,11.25,[11.25],"[""['hunt_et_al']""]"
1827,CCC(=O)C(C[C@H](C)[NH+:24]1CCOCC1)(c1ccccc1)c1ccccc1,O,0,0,6.68,[6.68],"[""['hunt_et_al']""]"
1828,O=[N+]([O-])c1ccc(F)cc1[OH:10],O,0,0,6.07,[6.07],"[""['hunt_et_al']""]"
1829,O=[N+]([O-])c1ccc2cc[nH]c2c1,O,4769-96-4,6-nitro-1H-indole,14.4,[14.4],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
1830,O=C([C@@H](Br)c1ccccc1)[OH:10],O,0,0,2.21,[2.21],"[""['hunt_et_al']""]"
1831,O=C(c1oc(-c2ccccc2)nc1-c1ccccc1)[OH:20],O,0,0,-1.44,[-1.44],"[""['hunt_et_al']""]"
1832,CC[N@H+:10](C)c1ccccc1,O,0,0,6.02,[6.02],"[""['hunt_et_al']""]"
1833,c1cc2c3c(cc([NH3+:13])cc3c1)CC2,O,0,0,4.5,[4.5],"[""['hunt_et_al']""]"
1834,CC(C)C[NH3+],C1CCOC1,58471-06-0,2-methylpropylazanium,13.0,[13.0],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1835,CC(C)c1ccccc1[OH:10],O,0,0,10.47,[10.47],"[""['hunt_et_al']""]"
1836,Cc1ccc([NH3+:8])c([N+](=O)[O-])c1,O,0,0,0.403,[0.403],"[""['hunt_et_al']""]"
1837,O=[N+]([O-])c1cc(F)cc([N+](=O)[O-])c1O,CC#N,364-32-9,"4-fluoro-2,6-dinitrophenol",16.17,"[16.17, 16.17]","[""['pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
1838,O=C(O)c1ccccc1-c1ccccc1C(=O)O,CC#N,482-05-3,2-(2-carboxyphenyl)benzoic acid,15.7,[15.7],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1839,NS(=O)(=O)c1cccc(C(F)(F)F)c1,CC#N,672-58-2,3-(trifluoromethyl)benzenesulfonamide,24.365000000000002,"[23.53, 25.2]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
1840,CC1=CNC(=O)[NH2+]C1=O,O,,"5-methyl-1H-pyrimidin-3-ium-2,4-dione",0.0,[0.0],"[""['pKa_values_of_nitrogen_heterocycles.pdf']""]"
1841,CCC1=CCC[NH2+:7]1,O,0,0,7.87,[7.87],"[""['hunt_et_al']""]"
1842,CC1(C)CCCC(C)(C)[NH2+:10]1,O,0,0,11.1,[11.1],"[""['hunt_et_al']""]"
1843,Nc1cc2ccccc2c[nH+:10]1,O,0,0,5.03,[5.03],"[""['hunt_et_al']""]"
1844,CCOC(=O)[C@@H](N)C[SH:9],O,0,0,6.53,[6.53],"[""['hunt_et_al']""]"
1845,CC[NH+:16](CC)CC(=O)Nc1c(C)cccc1C,O,0,0,7.92,"[7.9, 7.94]","[""['hunt_et_al']"", ""['hunt_et_al']""]"
1846,CC(C)[NH2+:12]C[C@H](O)c1cccc(I)c1,O,0,0,9.36,[9.36],"[""['hunt_et_al']""]"
1847,CCOP(=O)(OCC)c1ccc(C(=O)[OH:14])cc1,O,0,0,3.6,[3.6],"[""['hunt_et_al']""]"
1848,CC(C)(C)[NH2+:17]C[C@H](O)COc1nsnc1N1CCOCC1,O,0,0,8.8,[8.8],"[""['hunt_et_al']""]"
1849,O=C(c1ccc([C@@]23CCC[C@@H]2C3)cc1)[OH:15],O,0,0,4.02,[4.02],"[""['hunt_et_al']""]"
1850,N#CC(C#N)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,CC#N,1207878-53-2,2-((4-nitrophenyl)sulfonyl)malononitrile,6.04,"[6.06, 6.06, 6.01, 6.01, 6.06]","[""['DCE_2011_pKa_Table_MeCN.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
1851,O=C(c1cc(Cl)ccc1O)[OH:10],O,0,0,2.63,[2.63],"[""['hunt_et_al']""]"
1852,Clc1ccc([C@@H]2C[C@H]2[NH3+:10])cc1,O,0,0,8.11,[8.11],"[""['hunt_et_al']""]"
1853,Ic1cc([NH3+:11])cc2ccccc12,O,0,0,3.41,[3.41],"[""['hunt_et_al']""]"
1854,Cc1ccc(O)cc1,CC#N,106-44-5,4-methylphenol,27.45,[27.45],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1855,CC[NH+:22](CC)CCC(C#N)(c1ccccc1)c1ccccc1,O,0,0,9.08,[9.08],"[""['hunt_et_al']""]"
1856,Cc1c(C#N)c(C#N)c(C#N)c(C#N)c1C#N,CC#N,1213-77-0,"6-methylbenzene-1,2,3,4,5-pentacarbonitrile",20.14,"[20.14, 20.14, 20.14]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf']""]"
1857,Cn1cc(Br)c([OH:9])nc1=O,O,0,0,7.84,[7.84],"[""['hunt_et_al']""]"
1858,CCC(=O)C(c1ccccc1)(c1ccccc1)[C@H](C)C[NH+:24]1CCOCC1,O,0,0,7.12,[7.12],"[""['hunt_et_al']""]"
1859,Cc1ccccc1[SH:8],O,0,0,6.64,[6.64],"[""['hunt_et_al']""]"
1860,COc1ccc([SH:9])cc1,O,0,0,6.77,[6.77],"[""['hunt_et_al']""]"
1861,CCCC[NH2+]CCCC,C1CCOC1,-,dibutylazanium,12.6,[12.6],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1862,Oc1ccc([OH:7])cc1,O,0,0,9.91,[9.91],"[""['hunt_et_al']""]"
1863,Cc1ccc(S(N)(=O)=O)cc1C,CC#N,6326-18-7,"3,4-dimethylbenzenesulfonamide",25.01,[25.01],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1864,CCCC[NH+:13](CCCC)CCCC,O,0,0,9.93,[9.93],"[""['hunt_et_al']""]"
1865,CCCOc1cccc(C(=O)[OH:12])c1,O,0,0,4.2,[4.2],"[""['hunt_et_al']""]"
1866,Cc1ccccc1[NH3+:8],O,0,0,4.39,[4.39],"[""['hunt_et_al']""]"
1867,NS(=O)(=O)c1ccc(F)cc1,CS(=O)C,402-46-0,4-fluorobenzenesulfonamide,15.9,[15.9],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
1868,c1cc2c(c([OH:10])c1)CCC2,O,0,0,10.32,[10.32],"[""['hunt_et_al']""]"
1869,O=C([O-])[C@H](Cc1ccccc1)N1CCC(C[NH+:27]2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,O,0,0,9.25,[9.25],"[""['hunt_et_al']""]"
1870,Cc1c(C(=O)[OH:16])cc([N+](=O)[O-])cc1[N+](=O)[O-],O,0,0,2.97,[2.97],"[""['hunt_et_al']""]"
1871,CC(C)C(C(C)C)[NH3+:8],O,0,0,10.23,[10.23],"[""['hunt_et_al']""]"
1872,Cc1cnnc2c([OH:12])cccc12,O,0,0,8.36,[8.36],"[""['hunt_et_al']""]"
1873,O=C(N[OH:10])c1ccc(Cl)cc1,O,0,0,9.59,[9.59],"[""['hunt_et_al']""]"
1874,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[OH:32])=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,O,0,0,2.7,[2.7],"[""['hunt_et_al']""]"
1875,Oc1ccccc1[OH:7],O,0,0,9.125,[9.125],"[""['hunt_et_al']""]"
1876,CS(=O)(=O)CC[SH:6],O,0,0,7.9,[7.9],"[""['hunt_et_al']""]"
1877,CC[NH+:25](CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1,O,0,0,9.1,[9.1],"[""['hunt_et_al']""]"
1878,Cc1ccccc1/C=C/C(=O)[OH:12],O,0,0,4.49,[4.49],"[""['hunt_et_al']""]"
1879,CC[N@@H+:13](c1ccccc1)C(C)(C)C,O,0,0,8.02,[8.02],"[""['hunt_et_al']""]"
1880,O=C([C@@H](Cl)CCl)[OH:5],O,0,0,2.85,[2.85],"[""['hunt_et_al']""]"
1881,O=C(O)c1cccc([SH:10])c1,O,0,0,6.2,[6.2],"[""['hunt_et_al']""]"
1882,Cc1ccc(S(=O)(=O)NS(=O)(=O)c2ccc(C)cc2)cc1,CN(C)C=O,3695-00-9,4-methyl-N-(4-methylphenyl)sulfonylbenzenesulfonamide,3.87,[3.87],"[""['Ejoc202001649-sup-00001-misc_information.pdf']""]"
1883,CCC(c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-],CC#N,126661-13-0,1-nitro-4-(1-nitropropyl)benzene,23.9,[23.9],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1884,O=[N+]([O-])O,CC#N,7697-37-2,nitric acid,8.8,[8.8],"[""['MeCN_Acids_COSMO-RS_2008_Table.pdf']""]"
1885,CCCCOc1ccc(OCCCC)c([NH3+:15])c1,O,0,0,3.96,[3.96],"[""['hunt_et_al']""]"
1886,CCCC[NH+](CCCC)CCCC,CS(=O)C,-,tributylazanium,8.4,[8.4],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1887,N#CC(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,CC#N,64934-68-5,"2-(1,3,4,5,6,7,8-heptafluoronaphthalen-2-yl)-2-(2,3,4,5,6-pentafluorophenyl)acetonitrile",20.076,"[20.08, 20.08, 20.07, 20.07, 20.08]","[""['MeCN_Acids_COSMO-RS_2008_Table.pdf', 'a_unified_view_to_bronsted_acidity_scales.pdf', 'pKa_values_of_acids_in_acetonitrile.pdf', 'Ejoc202001649-sup-00001-misc_information.pdf', 'leito_acids']""]"
1888,C[N@@H+:6](CCO)CCCl,O,0,0,7.48,[7.48],"[""['hunt_et_al']""]"
1889,CC(=O)OCCC[NH+:8](C)C,O,0,0,9.0,[9.0],"[""['hunt_et_al']""]"
1890,O=P1(O)Oc2c(-c3ccccc3)cc3ccccc3c2-c2c(c(-c3ccccc3)cc3ccccc23)O1,CC#N,695162-86-8,"13-hydroxy-10,16-diphenyl-12,14-dioxa-13λ5-phosphapentacyclo[13.8.0.02,11.03,8.018,23]tricosa-1(15),2(11),3,5,7,9,16,18,20,22-decaene 13-oxide",12.7,[12.7],"[""['leito_acids']""]"
1891,C=C1C[C@]23C[C@@]1(O)CC[C@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)[OH:23],O,0,0,4.0,[4.0],"[""['hunt_et_al']""]"
1892,C1C[NH+]2CCC1CC2,C1CCOC1,-,1-azoniabicyclo[2.2.2]octane,13.1,[13.1],"[""['Bases_pKa_values_MeCN_DMSO_THF_Water.pdf']""]"
1893,C[C@@H]1CCCC[NH2+:7]1,O,0,0,11.08,[11.08],"[""['hunt_et_al']""]"
1894,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[N@H+:19](C)C1,O,0,0,7.65,[7.65],"[""['hunt_et_al']""]"
1895,CCC[C@@H](C)[NH+:8](C)C,O,0,0,10.57,[10.57],"[""['hunt_et_al']""]"
1896,C[C@@H](C=C(c1cccs1)c1cccs1)[NH+:18]1CCCCC1,O,0,0,8.41,[8.41],"[""['hunt_et_al']""]"
